LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0024,R-BIND (MV) 0033,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C\C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2014),10.1021/jm401438g,C,HTLV-2 FSS RNA,No binding,Ligand = NR; RNA = 500 nM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Off-Target Effect,Surface Plasmon Resonance,-,-,,HEK293T Cells,Stimulated -1 frameshift translation up to 160 %,Ligand = 0 - 50 µM,Frameshifting Activity,Reporter,Dual luciferase reporter (pDualHIV(-1)). The FSS sequence has been inserted between Renilla (Rluc) and firefly (Fluc) luciferase genes,Used negative controls from in vitro assays,,,,,,,,,,,,,,,
R-BIND (LM) 0024,R-BIND (MV) 0033,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C\C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2014),10.1021/jm401438g,,HIV-1 FSS RNA,Kd = 409 ± 25 nM,Ligand = 1 µM; RNA = 10 µM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Fluorescence-Based Titration (Intrinsic),-,,C,HEK293T Cells,No frameshifting observed,Ligand = 0 - 50 µM,Frameshifting Activity,Reporter,"pDualHIV(0) construct, where Fluc is in the 0 reading frame relative to Rluc. ",Used negative controls from in vitro assays,,,,,,,,,,,,,,,
R-BIND (LM) 0024,R-BIND (MV) 0033,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C\C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2014),10.1021/jm401438g,,HIV-1 FSS DNA,Kd = 118 ± 20 nM,Ligand = 1 µM; DNA = 40 µM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Binding,Fluorescence-Based Titration (Intrinsic),-,,,HEK293T Cells,No frameshifting observed,Ligand = 0 - 50 µM,Frameshifting Activity,Reporter,"pDualHTLV-2(-1) construct, where Fluc is in the 0 reading frame relative to Rluc. ",Used negative controls from in vitro assays,,,,,,,,,,,,,,,
R-BIND (LM) 0024,R-BIND (MV) 0033,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C\C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2014),10.1021/jm401438g,C,tRNA,Kd = 217 ± 28 nM,Ligand = 1 µM; RNA = 40 µM,0.01?M HEPES (pH = 7.4) and 0.15?M NaCl,Off-Target Effect,Fluorescence-Based Titration (Intrinsic),-,,,HEK293T Producers,Decrease in viral infectivity. EC50 = 25.6 µM,"Ligand = 10, 20, 40 µM",Antiviral Activity,ELISA,"Viral producer cells were dosed with compounds after transfection, and viral particles were harvested. Infections were performed using TZM-bl reporter cells (express luciferase when infected). Luminescence was quantitated. Also observed viral product via fluorescence microscopy and GFP marker.",Used peptide backbone as negative control. Protease inhibitor Indinavir was used as control (known EC50),,,,,,,,,,,,,,,
R-BIND (LM) 0024,R-BIND (MV) 0033,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](C\C=C\C[C@H](NC(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+])C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2014),10.1021/jm401438g,,,,,,,,,,,HEK293T Producers,"Increased amounts of Reverse Transcriptase observed. The amount of RT in 
unprocessed Gag-Pol (p160) relative to mature RT (p66 +
p51) also increased significantly.","Ligand = 10, 20, 40 µM",Protein Abundance,Western Blot,"As RT is produced only as part of the Gag-Pol fusion, increasing amounts of RT relative to capsid protein p24 (a structural protein produced as part of Gag) would be required given an increase in frameshifting.",Used Indinavir as positive control. Reported  relative to p24.,,,,,,,,,,,,,,,
R-BIND (LM) 0025,R-BIND (MV) 0038,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 3 (2017),10.1021/acschembio.7b00052,,HIV-1 FSS RNA,ka = 8.8 ± 3 x 10^4 1/M*s; kd = 6.8 ± 1 x 10^-3 1/s; Kd = 97 ± 20 nM,Ligand = NR; RNA = 50 µM,"10 mM HEPES (pH = 7.4), 150 mM NaCl, and 0.005% Tween",Binding,Surface Plasmon Resonance,50 ?M 5?-biotin HIV-1 FSS was refolded in 10 mM HEPES and 150 mM NaCl at pH 7.4 by heating at 98 °C in a heater block for 2 min then cooled to RT and immobilized on one flow cell of the SPR chip to a density of 1100 RU. ,-,,HEK293T Cells,TD50 ~ 90 µM,Ligand = NR,Cytotoxicity,WST-1,Cells incubated for 24 h with compound,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0025,R-BIND (MV) 0038,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 3 (2017),10.1021/acschembio.7b00052,C,HIV-1 FSS RNA; 5-fold excess tRNA,Kd = 32 ± 6 nM,Ligand = NR; RNA = 50 µM,"11 mM HEPES (pH = 7.4), 150 mM NaCl, and 0.005% Tween",Binding,Surface Plasmon Resonance,,,,HEK293T Cells,Permeable at 5 and 15 µM,Ligand = NR,Cell Uptake,Flow Cytometry,Cells incubated for 24 h with compound,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0025,R-BIND (MV) 0038,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 3 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,HEK293T Cells,Dose-dependent decrease in infectivity,"Ligand = 2, 6.3, 20 µM",Antiviral Activity,ELISA,p24 ELISA and GFP monitoring by fluorescence microscopy,Compared to Indinavir (FDA-approved protease inhibitor) and untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0025,R-BIND (MV) 0038,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 3 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,HEK293T Cells,Increased the amount of Gag-Pol relative to Gan,"Ligand = 2, 6.3, 20 µM",Antiviral Activity,Western Blot,Assessed Gag/Gag-Pol ratio,Compared to Indinavir (FDA-approved protease inhibitor) and untreated cells; relative to p24,,,,,,,,,,,,,,,
R-BIND (LM) 0025,R-BIND (MV) 0038,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 3 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 T-cells,Very low levels of virus present; IC50 = 15.33 µM,"Ligand = 2.5, 5, 10, 15, 20, 30 µM",Antiviral Activity,ELISA,Analyzed propagation of HIVIIIB,-,,,,,,,,,,,,,,,
R-BIND (LM) 0025,R-BIND (MV) 0038,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 3 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 T-cells,No cell growth inhibition,"Ligand = 2.5, 5, 10, 15, 20, 30 µM",Proliferation,Resazurin,6 days post-transfection,-,,,,,,,,,,,,,,,
R-BIND (LM) 0025,R-BIND (MV) 0038,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 3 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 HIV-1 AD.MDR01,No effect on virus inhibition,Ligand = 15 µM,Antiviral Activity,ELISA,p24 ELISA,-,,,,,,,,,,,,,,,
R-BIND (LM) 0025,R-BIND (MV) 0038,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CCN1C=C(C[C@H](NC(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 3 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 HIV-1 AD.MDR01,No significant effect on cell growth,Ligand = 15 µM,Proliferation,Resazurin,6 days post-transfection,-,,,,,,,,,,,,,,,
R-BIND (LM) 0026,R-BIND (MV) 0039,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 4 (2017),10.1021/acschembio.7b00052,,HIV-1 FSS RNA,ka = 5.3 ± 2 x 10^4 1/M*s; kd = 3.3 ± 1 x 10^-3 1/s; Kd = 68 ± 7 nM,Ligand = NR; RNA = 50 µM,"10 mM HEPES (pH = 7.4), 150 mM NaCl, and 0.005% Tween",Binding,Surface Plasmon Resonance,50 ?M 5?-biotin HIV-1 FSS was refolded in 10 mM HEPES and 150 mM NaCl at pH 7.4 by heating at 98 °C in a heater block for 2 min then cooled to RT and immobilized on one flow cell of the SPR chip to a density of 1100 RU. ,-,,HEK293T Cells,TD50 ~ 90 µM,Ligand = NR,Cytotoxicity,WST-1,Cells incubated for 24 h with compound,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0026,R-BIND (MV) 0039,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 4 (2017),10.1021/acschembio.7b00052,C,HIV-1 FSS RNA; 5-fold excess tRNA,Kd = 62 ± 20 nM,Ligand = NR; RNA = 50 µM,"11 mM HEPES (pH = 7.4), 150 mM NaCl, and 0.005% Tween",Binding,Surface Plasmon Resonance,,,,HEK293T Cells,Permeable at 5 and 15 µM,Ligand = NR,Cell Uptake,Flow Cytometry,Cells incubated for 24 h with compound,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0026,R-BIND (MV) 0039,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 4 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,HEK293T Cells,Dose-dependent decrease in infectivity,"Ligand = 2, 6.3, 20 µM",Antiviral Activity,ELISA,p24 ELISA and GFP monitoring by fluorescence microscopy,Compared to Indinavir (FDA-approved protease inhibitor) and untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0026,R-BIND (MV) 0039,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 4 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,HEK293T Cells,Increased the amount of Gag-Pol relative to Gan,"Ligand = 2, 6.3, 20 µM",Antiviral Activity,Western Blot,Assessed Gag/Gag-Pol ratio,Compared to Indinavir (FDA-approved protease inhibitor) and untreated cells; relative to p24,,,,,,,,,,,,,,,
R-BIND (LM) 0026,R-BIND (MV) 0039,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 4 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 T-cells,Very low levels of virus present; IC50 = 10.17 µM,"Ligand = 2.5, 5, 10, 15, 20, 30 µM",Antiviral Activity,ELISA,Analyzed propagation of HIVIIIB,-,,,,,,,,,,,,,,,
R-BIND (LM) 0026,R-BIND (MV) 0039,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 4 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 T-cells,No cell growth inhibition,"Ligand = 2.5, 5, 10, 15, 20, 30 µM",Proliferation,Resazurin,6 days post-transfection,-,,,,,,,,,,,,,,,
R-BIND (LM) 0026,R-BIND (MV) 0039,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 4 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 HIV-1 AD.MDR01,No effect on virus inhibition,Ligand = 15 µM,Antiviral Activity,ELISA,p24 ELISA,-,,,,,,,,,,,,,,,
R-BIND (LM) 0026,R-BIND (MV) 0039,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 4 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 HIV-1 AD.MDR01,Prolonged cell growth,Ligand = 15 µM,Proliferation,Resazurin,6 days post-transfection,-,,,,,,,,,,,,,,,
R-BIND (LM) 0027,R-BIND (MV) 0040,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2017),10.1021/acschembio.7b00052,,HIV-1 FSS RNA,ka = 1.2 ± 0.3 x 10^4 1/M*s; kd = 6.2 ± 0.3 x 10^-3 1/s; Kd = 59 ± 10 nM,Ligand = NR; RNA = 50 µM,"10 mM HEPES (pH = 7.4), 150 mM NaCl, and 0.005% Tween",Binding,Surface Plasmon Resonance,50 ?M 5?-biotin HIV-1 FSS was refolded in 10 mM HEPES and 150 mM NaCl at pH 7.4 by heating at 98 °C in a heater block for 2 min then cooled to RT and immobilized on one flow cell of the SPR chip to a density of 1100 RU. ,-,,HEK293T Cells,TD50 > 110 µM,Ligand = NR,Cytotoxicity,WST-1,Cells incubated for 24 h with compound,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0027,R-BIND (MV) 0040,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2017),10.1021/acschembio.7b00052,C,HIV-1 FSS RNA; 5-fold excess tRNA,Kd = 31 ± 5 nM,Ligand = NR; RNA = 50 µM,"11 mM HEPES (pH = 7.4), 150 mM NaCl, and 0.005% Tween",Binding,Surface Plasmon Resonance,51 ?M 5?-biotin HIV-1 FSS was refolded in 10 mM HEPES and 150 mM NaCl at pH 7.4 by heating at 98 °C in a heater block for 2 min then cooled to RT and immobilized on one flow cell of the SPR chip to a density of 1100 RU. ,-,,HEK293T Cells,Permeable at 5 and 15 µM,Ligand = NR,Cell Uptake,Flow Cytometry,Cells incubated for 24 h with compound,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0027,R-BIND (MV) 0040,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,HEK293T Cells,Dose-dependent decrease in infectivity,"Ligand = 2, 6.3, 20 µM",Antiviral Activity,ELISA,p24 ELISA and GFP monitoring by fluorescence microscopy,Compared to Indinavir (FDA-approved protease inhibitor) and untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0027,R-BIND (MV) 0040,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,HEK293T Cells,Increased the amount of Gag-Pol relative to Gan,"Ligand = 2, 6.3, 20 µM",Antiviral Activity,Western Blot,Assessed Gag/Gag-Pol ratio,Compared to Indinavir (FDA-approved protease inhibitor) and untreated cells; relative to p24,,,,,,,,,,,,,,,
R-BIND (LM) 0027,R-BIND (MV) 0040,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 T-cells,Very low levels of virus present; IC50 = 10.17 µM,"Ligand = 2.5, 5, 10, 15, 20, 30 µM",Antiviral Activity,ELISA,Analyzed propagation of HIVIIIB,-,,,,,,,,,,,,,,,
R-BIND (LM) 0027,R-BIND (MV) 0040,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 T-cells,No cell growth inhibition,"Ligand = 2.5, 5, 10, 15, 20, 30 µM",Proliferation,Resazurin,6 days post-transfection,-,,,,,,,,,,,,,,,
R-BIND (LM) 0027,R-BIND (MV) 0040,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 HIV-1 AD.MDR01,No effect on virus inhibition,Ligand = 15 µM,Antiviral Activity,ELISA,p24 ELISA,-,,,,,,,,,,,,,,,
R-BIND (LM) 0027,R-BIND (MV) 0040,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N[C@@H](CC1=CN(CC[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 5 (2017),10.1021/acschembio.7b00052,,,,,,,,,,,MT-2 HIV-1 AD.MDR01,No significant effect on cell growth,Ligand = 15 µM,Proliferation,Resazurin,6 days post-transfection,-,,,,,,,,,,,,,,,
R-BIND (LM) 0028,R-BIND (MV) 0041,CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N(C)[C@@H](CCN1C=C(C[C@H](N(C)C(=O)C2=C(CC)N=C3C=C4C=CC=CC4=CC3=C2)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)NCCC[NH3+])N=N1)C(=O)N1CCC[C@H]1C(=O)N(C)[C@@H](CC1=CC=CC=C1)C(=O)NCCC[NH3+],DCC 7 (2017),10.1021/acschembio.7b00052,,HIV-1 FSS RNA,ka = 1.9 ± 0.3 x 10^5 1/M*s; kd = 3.0 ± 0.5 x 10^-3 1/s; Kd = 16 ± 4 nM,Ligand = NR; RNA = 50 µM,"10 mM HEPES (pH = 7.4), 150 mM NaCl, and 0.005% Tween",Binding,Surface Plasmon Resonance,50 ?M 5?-biotin HIV-1 FSS was refolded in 10 mM HEPES and 150 mM NaCl at pH 7.4 by heating at 98 °C in a heater block for 2 min then cooled to RT and immobilized on one flow cell of the SPR chip to a density of 1100 RU. ,-,,HEK293T Cells,TD50 ~ 60 µM,Ligand = NR,Cytotoxicity,WST-1,Cells incubated for 24 h with compound,Compared to untreated cells,,,,,,,,,,,,,,,
